id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,premium,sourcing_channel_A,sourcing_channel_B,sourcing_channel_C,sourcing_channel_D,sourcing_channel_E,residence_area_type_Rural,residence_area_type_Urban
25876,0.263,23010,144110,1.0,0.0,0.0,98.52,16,7500,1,0,0,0,0,0,1
52212,0.176,23008,437640,0.0,0.0,0.0,99.2,21,11700,1,0,0,0,0,0,1
92762,0.066,14975,75410,0.0,0.0,0.0,99.04,15,5400,0,1,0,0,0,0,1
78878,0.131,23739,250080,0.0,0.0,0.0,99.73,21,26400,1,0,0,0,0,0,1
90421,1.0,10232,42150,0.0,0.0,0.0,99.21,2,1200,1,0,0,0,0,1,0
88338,0.0,25190,96090,0.0,0.0,0.0,99.02,9,7500,1,0,0,0,0,1,0
63517,0.339,12050,187580,0.0,0.0,0.0,99.2,10,9600,1,0,0,0,0,1,0
4521,0.963,17532,98440,0.0,0.0,0.0,99.36,5,3300,1,0,0,0,0,1,0
18110,0.475,19725,215160,0.0,0.0,0.0,99.37,11,24300,1,0,0,0,0,1,0
103275,0.253,23001,420070,0.0,0.0,0.0,99.81,11,20100,0,1,0,0,0,0,1
71308,0.059,13155,127150,0.0,0.0,0.0,99.53,16,5400,1,0,0,0,0,0,1
111312,0.06,23002,300030,0.0,0.0,0.0,98.94,9,11700,1,0,0,0,0,1,0
113105,0.205,22271,270150,0.0,0.0,0.0,99.28,26,9600,1,0,0,0,0,1,0
33624,0.127,21910,270090,2.0,0.0,0.0,99.06,15,11700,0,0,1,0,0,1,0
50545,0.494,23000,190240,0.0,0.0,0.0,99.35,12,7500,0,1,0,0,0,1,0
48518,1.0,12059,123120,0.0,0.0,0.0,99.21,2,9600,0,1,0,0,0,1,0
63120,0.185,12059,57750,0.0,0.0,0.0,99.04,8,5700,0,1,0,0,0,0,1
44420,0.515,10961,187630,0.0,0.0,0.0,99.74,5,7500,1,0,0,0,0,0,1
94453,0.0,17530,112920,0.0,0.0,0.0,99.3,6,11700,0,1,0,0,0,0,1
109072,0.293,10960,83320,0.0,0.0,0.0,98.31,7,5400,1,0,0,0,0,0,1
24991,0.059,21176,300150,0.0,0.0,0.0,99.29,12,15900,0,1,0,0,0,0,1
110958,0.787,24105,88860,1.0,0.0,0.0,99.85,8,5400,1,0,0,0,0,1,0
33716,0.594,16431,91240,1.0,1.0,0.0,99.18,8,3300,0,0,0,1,0,1,0
56361,0.602,20082,95090,1.0,0.0,0.0,97.74,8,5400,1,0,0,0,0,0,1
111990,0.478,25192,75220,0.0,0.0,0.0,99.65,5,1200,1,0,0,0,0,0,1
83449,0.027,19722,200030,0.0,0.0,0.0,99.14,13,18000,0,0,0,1,0,0,1
6408,0.062,17160,90110,0.0,0.0,0.0,99.27,7,5700,0,0,0,1,0,1,0
32451,1.0,10961,94600,0.0,0.0,0.0,99.65,4,3300,1,0,0,0,0,0,1
99705,0.533,20083,315080,0.0,0.0,0.0,99.21,15,26400,0,1,0,0,0,0,1
73399,1.0,10957,62610,0.0,0.0,0.0,99.21,3,3300,1,0,0,0,0,0,1
96246,0.511,22645,122570,0.0,0.0,0.0,98.56,13,5400,1,0,0,0,0,0,1
14472,0.133,14605,60690,0.0,0.0,0.0,99.82,4,1200,0,0,1,0,0,0,1
14602,0.006,14248,310080,0.0,0.0,0.0,99.29,9,15900,0,1,0,0,0,0,1
113187,0.096,17899,200070,0.0,0.0,0.0,98.02,25,18000,0,1,0,0,0,1,0
75479,0.014,24097,150080,0.0,0.0,0.0,94.63,17,7500,1,0,0,0,0,0,1
4037,0.102,19359,61060,0.0,0.0,0.0,98.88,15,5700,1,0,0,0,0,0,1
44197,0.06,24828,96130,0.0,0.0,0.0,99.65,15,5400,1,0,0,0,0,0,1
102232,0.107,20448,230500,0.0,0.0,0.0,97.03,24,15900,0,1,0,0,0,1,0
31338,0.046,21540,107550,0.0,0.0,0.0,98.11,15,7500,1,0,0,0,0,1,0
51426,0.456,12784,320110,0.0,0.0,0.0,99.35,10,13800,0,0,1,0,0,1,0
80248,0.029,20819,120050,0.0,0.0,0.0,99.89,8,5400,1,0,0,0,0,0,1
16501,0.215,19355,375130,0.0,0.0,0.0,99.33,16,3300,0,0,1,0,0,1,0
32833,1.0,12056,132630,0.0,0.0,0.0,99.64,4,7500,1,0,0,0,0,0,1
77238,0.187,25192,120030,0.0,0.0,0.0,99.51,28,7500,1,0,0,0,0,0,1
106523,0.634,23375,270100,1.0,0.0,0.0,98.61,19,13800,0,0,1,0,0,0,1
107042,0.612,14610,212540,0.0,0.0,0.0,98.85,16,15900,1,0,0,0,0,1,0
48721,0.197,17166,112590,0.0,0.0,0.0,98.96,13,5400,0,0,1,0,0,0,1
50866,0.771,10593,212560,0.0,0.0,0.0,99.38,5,9600,1,0,0,0,0,0,1
42429,0.023,34685,75120,0.0,0.0,0.0,99.86,6,3300,1,0,0,0,0,1,0
50959,1.0,14978,165070,1.0,0.0,2.0,99.21,3,5400,1,0,0,0,0,1,0
91167,0.009,26290,75120,0.0,0.0,0.0,99.88,9,3300,1,0,0,0,0,0,1
77640,0.168,12422,213120,0.0,0.0,0.0,99.55,12,24300,0,0,1,0,0,1,0
90011,0.429,14977,90090,0.0,0.0,0.0,99.21,8,1200,0,0,0,1,0,0,1
101699,0.804,15338,209960,0.0,0.0,0.0,99.38,12,9600,0,1,0,0,0,1,0
16843,0.135,18259,374200,0.0,0.0,0.0,99.5,10,20100,0,0,0,1,0,0,1
60132,0.036,14611,282070,2.0,0.0,0.0,99.61,9,13800,0,0,1,0,0,0,1
69261,0.013,16795,93060,0.0,0.0,0.0,99.19,7,1200,1,0,0,0,0,1,0
36536,0.031,22272,160100,0.0,0.0,0.0,98.77,8,11700,1,0,0,0,0,0,1
35368,0.008,23737,107550,0.0,0.0,0.0,99.51,22,7500,1,0,0,0,0,1,0
37512,0.48,17164,120110,0.0,0.0,0.0,98.48,12,1200,1,0,0,0,0,0,1
17597,0.425,17162,114800,0.0,0.0,1.0,99.5,6,13800,1,0,0,0,0,0,1
37010,0.061,18625,438030,0.0,0.0,0.0,99.44,20,30600,1,0,0,0,0,0,1
55386,0.015,21914,261780,0.0,0.0,0.0,99.18,16,1200,1,0,0,0,0,1,0
62670,0.329,12780,77270,1.0,0.0,0.0,99.12,9,9600,0,1,0,0,0,0,1
89897,0.472,12784,136120,0.0,0.0,0.0,98.96,8,7500,1,0,0,0,0,0,1
111677,0.497,16439,900110,0.0,0.0,0.0,99.19,27,60000,0,0,0,1,0,0,1
14291,0.073,24466,96100,0.0,0.0,0.0,99.8,6,5700,1,0,0,0,0,1,0
100936,0.205,17898,435040,0.0,0.0,0.0,99.22,12,3300,0,0,0,1,0,1,0
50606,0.435,16801,400090,0.0,0.0,0.0,99.3,9,22200,0,0,1,0,0,0,1
103180,0.012,27018,180070,0.0,0.0,0.0,99.89,10,18000,1,0,0,0,0,1,0
23970,0.009,29570,215240,0.0,0.0,1.0,99.26,22,11700,1,0,0,0,0,0,1
15304,0.361,15710,192550,1.0,0.0,0.0,99.34,12,5400,0,0,0,1,0,1,0
37725,0.618,14612,457530,2.0,0.0,0.0,99.21,10,24300,0,0,0,1,0,0,1
56612,0.011,20089,270140,0.0,0.0,0.0,99.37,12,18000,0,1,0,0,0,0,1
109917,0.24,12788,192120,2.0,0.0,0.0,99.73,11,13800,1,0,0,0,0,1,0
26716,0.499,17895,450030,0.0,0.0,0.0,99.21,22,15900,1,0,0,0,0,0,1
95239,0.404,18628,232090,0.0,0.0,0.0,98.15,10,7500,0,1,0,0,0,1,0
104994,0.043,23731,173480,0.0,0.0,0.0,98.89,19,11700,1,0,0,0,0,0,1
51454,0.192,21548,116230,0.0,0.0,0.0,98.24,16,5400,1,0,0,0,0,0,1
3164,0.003,26651,42130,0.0,0.0,0.0,99.89,6,1200,1,0,0,0,0,0,1
74930,0.676,20810,467620,0.0,0.0,0.0,99.48,9,43200,0,0,1,0,0,0,1
112720,1.0,22277,123100,0.0,1.0,1.0,99.68,3,3300,0,0,1,0,0,0,1
111598,0.826,13151,240030,2.0,0.0,0.0,99.05,10,13800,0,0,1,0,0,0,1
26650,0.963,12780,48120,0.0,0.0,0.0,98.26,8,5700,1,0,0,0,0,0,1
67411,0.021,8410,27930,0.0,0.0,0.0,99.21,5,1200,1,0,0,0,0,0,1
78888,0.184,23737,465050,0.0,0.0,0.0,98.92,20,28500,1,0,0,0,0,1,0
113141,0.1,15700,117360,0.0,0.0,0.0,98.84,25,3300,1,0,0,0,0,0,1
26601,0.013,18623,84840,0.0,0.0,0.0,98.85,5,7500,0,1,0,0,0,1,0
75036,0.042,22638,179030,0.0,0.0,0.0,98.18,28,20100,0,1,0,0,0,0,1
26895,0.187,15710,180070,0.0,0.0,0.0,99.21,10,15900,0,0,0,1,0,1,0
54218,0.264,16437,273100,0.0,0.0,0.0,99.63,5,18000,0,0,1,0,0,0,1
14138,0.521,23002,262620,0.0,0.0,0.0,98.63,24,11700,1,0,0,0,0,1,0
98506,0.046,21548,307120,0.0,0.0,0.0,99.74,7,24300,0,1,0,0,0,0,1
30346,1.0,24465,195040,1.0,1.0,2.0,99.32,5,3300,0,1,0,0,0,1,0
72654,0.022,19358,171560,0.0,0.0,0.0,99.51,6,7500,1,0,0,0,0,1,0
95505,0.072,25564,124730,0.0,0.0,0.0,98.61,20,13800,1,0,0,0,0,1,0
109549,0.038,16075,199260,0.0,0.0,0.0,99.32,9,5400,0,0,0,1,0,0,1
44867,1.0,28111,143820,0.0,0.0,0.0,99.32,5,7500,0,1,0,0,0,0,1
96569,0.02,16065,165120,0.0,0.0,0.0,98.2,13,7500,1,0,0,0,0,1,0
18602,0.059,25559,174590,0.0,0.0,0.0,99.86,5,7500,1,0,0,0,0,0,1
110500,0.0,13880,108130,0.0,0.0,0.0,98.91,6,1200,0,0,0,1,0,1,0
7483,0.98,15340,322230,0.0,0.0,0.0,99.17,11,13800,1,0,0,0,0,0,1
22379,0.703,17165,216080,0.0,0.0,0.0,99.31,12,9600,0,0,1,0,0,0,1
25803,0.354,20080,225060,1.0,0.0,0.0,99.35,8,13800,1,0,0,0,0,0,1
4435,0.0,24832,345090,1.0,0.0,0.0,99.55,14,11700,1,0,0,0,0,0,1
81319,0.512,12421,104860,0.0,0.0,1.0,98.75,8,7500,0,0,0,1,0,1,0
16918,0.001,8405,76740,0.0,0.0,0.0,99.21,4,5400,1,0,0,0,0,1,0
14368,0.311,12059,156110,1.0,0.0,0.0,99.62,7,1200,0,0,0,1,0,0,1
113577,0.144,15335,100110,0.0,0.0,0.0,99.67,6,3300,0,0,1,0,0,0,1
26241,0.3,20082,225080,0.0,0.0,0.0,99.18,17,18000,0,0,1,0,0,1,0
17409,0.105,16069,168120,0.0,0.0,0.0,98.82,6,7500,1,0,0,0,0,0,1
74859,0.939,17533,96060,0.0,0.0,1.0,98.49,11,9600,0,1,0,0,0,1,0
33887,0.011,22277,140090,0.0,0.0,0.0,99.21,9,11700,0,0,0,1,0,0,1
48186,0.009,23002,502720,0.0,0.0,0.0,99.62,6,22200,0,1,0,0,0,0,1
85324,0.0,12416,150110,0.0,0.0,0.0,98.58,20,7500,1,0,0,0,0,0,1
106223,0.066,23735,315030,0.0,0.0,0.0,99.75,16,15900,1,0,0,0,0,1,0
27792,0.002,29207,82410,0.0,0.0,0.0,99.67,7,5400,1,0,0,0,0,1,0
54192,0.009,32861,351510,0.0,0.0,0.0,98.15,13,20100,0,1,0,0,0,1,0
112596,0.082,15345,240150,0.0,0.0,0.0,99.36,11,3300,1,0,0,0,0,1,0
17588,0.02,25199,299500,0.0,0.0,0.0,99.21,5,22200,1,0,0,0,0,0,1
89173,0.046,13885,362590,0.0,0.0,0.0,99.15,10,15900,1,0,0,0,0,1,0
43937,0.914,19725,206470,1.0,0.0,0.0,98.21,19,3300,0,0,1,0,0,0,1
60860,0.015,18258,360060,0.0,0.0,0.0,99.33,13,15900,0,0,0,1,0,1,0
26068,0.834,14976,87550,0.0,1.0,1.0,99.88,3,7500,1,0,0,0,0,0,1
59233,0.889,18620,115040,1.0,0.0,0.0,97.74,14,1200,1,0,0,0,0,1,0
74922,0.551,22638,300060,1.0,0.0,0.0,98.64,15,18000,1,0,0,0,0,1,0
91634,0.029,23732,92550,0.0,0.0,0.0,99.89,6,5400,1,0,0,0,0,0,1
55722,0.183,25194,75150,0.0,0.0,0.0,99.05,17,7500,1,0,0,0,0,1,0
16053,0.482,10599,74820,0.0,0.0,0.0,99.29,7,3300,1,0,0,0,0,1,0
28403,0.029,12055,144370,1.0,0.0,0.0,99.05,8,9600,0,0,0,1,0,0,1
92985,0.245,23375,134460,0.0,0.0,0.0,97.26,13,7500,0,0,1,0,0,1,0
12515,0.003,17893,249820,0.0,0.0,0.0,99.86,5,1200,1,0,0,0,0,1,0
80915,0.064,16803,324410,0.0,0.0,0.0,98.98,7,24300,0,1,0,0,0,0,1
30812,0.065,24829,497580,0.0,0.0,0.0,99.46,14,36900,0,1,0,0,0,1,0
70667,1.0,14244,110350,2.0,0.0,0.0,99.58,4,3300,0,0,0,1,0,1,0
32987,0.727,19352,203060,3.0,0.0,0.0,99.79,11,13800,1,0,0,0,0,1,0
45515,0.15,26295,407450,0.0,0.0,0.0,98.97,8,11700,1,0,0,0,0,1,0
91096,0.634,15702,229120,0.0,0.0,0.0,99.06,20,9600,0,0,0,0,1,1,0
45240,0.603,19355,195110,0.0,0.0,0.0,99.05,7,13800,1,0,0,0,0,0,1
24641,0.065,16797,510120,0.0,0.0,0.0,99.28,8,22200,0,0,0,1,0,1,0
31033,0.136,14248,360150,0.0,0.0,0.0,99.89,6,28500,1,0,0,0,0,0,1
75445,0.0,21184,60060,0.0,0.0,0.0,96.84,13,5700,1,0,0,0,0,0,1
58456,0.041,12419,313460,0.0,0.0,0.0,99.37,16,22200,0,1,0,0,0,0,1
82323,0.001,13519,276360,0.0,0.0,0.0,99.38,10,15900,1,0,0,0,0,0,1
6891,0.36,14605,225030,1.0,0.0,0.0,99.13,11,13800,0,0,1,0,0,1,0
15417,1.0,15339,127960,0.0,0.0,0.0,98.83,5,5400,0,1,0,0,0,0,1
52219,0.03,22637,195120,0.0,0.0,0.0,99.43,10,18000,1,0,0,0,0,1,0
69975,0.034,20811,90070,0.0,0.0,0.0,99.71,10,9600,1,0,0,0,0,1,0
66235,0.076,29206,108060,0.0,0.0,0.0,99.02,10,5400,1,0,0,0,0,1,0
108958,0.196,21183,195130,0.0,0.0,0.0,99.23,18,11700,0,0,0,1,0,0,1
95580,0.033,12790,112640,0.0,0.0,0.0,98.13,5,5400,1,0,0,0,0,1,0
21372,0.489,26293,131070,0.0,0.0,0.0,98.49,15,7500,0,1,0,0,0,0,1
20998,0.638,20087,165070,0.0,0.0,0.0,99.45,8,11700,1,0,0,0,0,0,1
68045,0.166,23000,150130,0.0,0.0,0.0,98.08,20,9600,0,0,0,1,0,0,1
88884,0.011,14614,300060,0.0,0.0,0.0,99.55,5,3300,0,0,1,0,0,0,1
81615,0.628,20087,150030,1.0,0.0,0.0,97.38,13,3300,1,0,0,0,0,1,0
51927,0.0,12054,1560130,0.0,0.0,1.0,99.78,9,45300,0,0,0,1,0,0,1
111062,0.003,17167,150120,0.0,0.0,0.0,99.89,6,11700,1,0,0,0,0,0,1
48907,0.255,24460,580610,3.0,0.0,0.0,99.22,13,26400,1,0,0,0,0,1,0
29131,0.053,29940,253230,0.0,0.0,0.0,99.48,10,18000,0,1,0,0,0,1,0
68671,0.354,22275,535560,0.0,0.0,0.0,99.36,9,47400,0,0,1,0,0,1,0
21245,0.021,18623,225150,0.0,0.0,0.0,99.42,10,13800,0,0,1,0,0,1,0
49596,0.013,14242,98360,0.0,0.0,0.0,99.05,8,7500,0,0,1,0,0,1,0
28744,0.057,19723,205740,0.0,0.0,0.0,99.42,5,5400,0,1,0,0,0,1,0
87251,0.026,20445,270150,0.0,0.0,0.0,99.16,11,7500,1,0,0,0,0,0,1
17076,0.52,9504,135110,0.0,0.0,0.0,99.2,7,13800,1,0,0,0,0,1,0
74681,0.04,12060,187580,0.0,0.0,0.0,99.51,10,11700,0,0,1,0,0,1,0
3934,0.055,15701,219120,0.0,0.0,0.0,99.53,8,9600,0,0,1,0,0,0,1
53864,0.691,22272,2900190,2.0,0.0,0.0,99.85,16,9600,1,0,0,0,0,1,0
25276,0.036,24102,315060,0.0,0.0,0.0,99.64,10,3300,1,0,0,0,0,0,1
113380,0.015,29579,160130,0.0,0.0,0.0,99.57,7,9600,0,1,0,0,0,0,1
105595,0.0,23735,129740,0.0,0.0,0.0,99.35,12,1200,1,0,0,0,0,0,1
26506,1.0,14970,102090,0.0,1.0,0.0,98.96,7,3300,0,0,0,1,0,1,0
109154,0.078,23366,640060,0.0,0.0,0.0,98.69,23,45300,1,0,0,0,0,1,0
72206,0.43,16805,262330,1.0,0.0,0.0,99.12,14,13800,0,1,0,0,0,1,0
61678,0.164,23738,243570,0.0,0.0,0.0,98.97,6,7500,1,0,0,0,0,0,1
50471,0.001,20445,61970,0.0,0.0,0.0,99.07,7,7500,1,0,0,0,0,1,0
85626,0.988,14608,106960,0.0,0.0,0.0,99.2,8,9600,1,0,0,0,0,0,1
8436,0.124,16800,287590,0.0,0.0,0.0,99.45,7,13800,1,0,0,0,0,0,1
28125,0.179,14250,187290,0.0,0.0,0.0,99.04,17,9600,1,0,0,0,0,0,1
58198,0.202,23000,260080,0.0,0.0,0.0,99.17,11,11700,0,1,0,0,0,0,1
10439,0.028,28844,168950,0.0,0.0,0.0,98.9,6,9600,1,0,0,0,0,0,1
6576,0.333,9864,73600,0.0,0.0,0.0,99.29,6,5400,1,0,0,0,0,0,1
16260,0.571,21545,247530,0.0,0.0,0.0,99.01,16,11700,0,1,0,0,0,1,0
46572,0.454,16440,189080,5.0,0.0,2.0,98.18,18,20100,0,0,0,1,0,1,0
110447,0.47,21908,337580,0.0,0.0,0.0,97.97,17,20100,0,0,0,1,0,1,0
76991,0.678,13511,24130,0.0,0.0,0.0,95.15,5,5700,0,0,1,0,0,0,1
76132,0.89,17529,210100,1.0,2.0,1.0,98.54,8,7500,1,0,0,0,0,1,0
33196,0.162,23008,496850,0.0,0.0,0.0,99.2,26,28500,1,0,0,0,0,0,1
93113,0.654,15701,170070,0.0,0.0,0.0,98.42,12,18000,0,0,1,0,0,1,0
87646,0.796,14977,227570,0.0,0.0,0.0,98.94,10,1200,0,0,0,1,0,0,1
105689,0.156,10592,120060,0.0,0.0,0.0,98.57,10,9600,1,0,0,0,0,1,0
18162,0.189,24097,256560,0.0,0.0,0.0,98.84,14,3300,0,1,0,0,0,1,0
27928,0.243,16070,353980,0.0,0.0,0.0,99.07,11,39000,0,0,0,1,0,1,0
69961,0.183,17531,735040,0.0,0.0,0.0,99.35,10,60000,0,0,1,0,0,0,1
40477,0.118,21914,369030,0.0,0.0,0.0,98.86,27,28500,1,0,0,0,0,1,0
71126,0.249,16434,180030,0.0,0.0,0.0,99.12,8,15900,1,0,0,0,0,0,1
55077,0.002,22278,147090,0.0,0.0,0.0,99.34,21,9600,0,1,0,0,0,0,1
16318,0.008,21911,155060,0.0,0.0,0.0,99.59,8,5400,1,0,0,0,0,0,1
83358,0.109,20083,331220,0.0,0.0,0.0,99.66,8,9600,0,0,0,1,0,1,0
111849,0.047,26660,144050,0.0,0.0,0.0,97.41,12,9600,1,0,0,0,0,0,1
60622,0.135,18625,75040,0.0,0.0,0.0,96.83,8,5400,0,0,1,0,0,0,1
92608,0.173,13520,300050,0.0,0.0,0.0,99.18,7,13800,0,1,0,0,0,0,1
65947,0.028,14246,60100,0.0,0.0,0.0,96.06,14,3300,1,0,0,0,0,0,1
489,1.0,12789,105070,0.0,0.0,1.0,99.61,3,5400,1,0,0,0,0,1,0
74026,0.066,17892,128840,0.0,0.0,0.0,99.29,13,7500,1,0,0,0,0,0,1
65083,0.271,10230,97620,0.0,0.0,0.0,99.56,6,3300,1,0,0,0,0,1,0
59253,0.035,16430,117070,0.0,0.0,0.0,99.23,5,7500,0,1,0,0,0,0,1
55020,0.788,9501,48070,0.0,1.0,0.0,98.91,13,5700,1,0,0,0,0,0,1
91457,0.142,17896,175080,0.0,0.0,0.0,99.67,8,7500,0,0,1,0,0,0,1
98549,0.313,22273,301090,0.0,0.0,0.0,99.5,15,7500,0,0,1,0,0,1,0
36733,0.0,20447,105040,1.0,0.0,0.0,99.58,8,3300,1,0,0,0,0,0,1
2719,0.103,24833,47610,0.0,0.0,0.0,98.41,10,3300,1,0,0,0,0,0,1
106796,0.051,23373,315060,0.0,0.0,0.0,99.88,18,18000,1,0,0,0,0,0,1
48171,0.025,14607,400080,0.0,0.0,0.0,99.49,8,30600,1,0,0,0,0,1,0
81570,0.977,16795,162610,0.0,1.0,0.0,99.66,9,9600,1,0,0,0,0,0,1
50638,0.495,17893,84230,1.0,0.0,0.0,99.02,7,5700,1,0,0,0,0,0,1
18729,0.713,15344,180070,0.0,0.0,0.0,99.02,11,13800,1,0,0,0,0,0,1
9927,1.0,21176,156050,0.0,0.0,0.0,99.21,4,3300,1,0,0,0,0,0,1
52681,0.142,13884,105060,0.0,0.0,0.0,98.44,15,7500,0,0,1,0,0,1,0
113374,0.008,27755,250110,0.0,0.0,0.0,99.21,8,30600,0,1,0,0,0,1,0
43974,0.008,23004,301590,0.0,0.0,0.0,99.53,15,13800,1,0,0,0,0,0,1
64357,0.219,21906,298980,0.0,0.0,0.0,99.18,27,13800,1,0,0,0,0,0,1
9293,0.461,18988,240050,0.0,0.0,0.0,99.69,11,20100,0,0,0,0,1,0,1
72338,0.336,15342,1200090,0.0,0.0,0.0,99.01,10,60000,0,0,0,0,1,0,1
2554,0.579,23001,87030,0.0,0.0,0.0,95.05,8,5400,1,0,0,0,0,0,1
3294,0.968,13520,140790,0.0,0.0,0.0,99.89,4,7500,0,1,0,0,0,0,1
